date,year,month,day,port_name,country,import_volume_estimate,export_volume_estimate,vessel_call_count,port_id
2019-05-01 00:00:00+00:00,2019,5,1,CALCUTTA,India,0.0,0.0,0,0
2019-05-02 00:00:00+00:00,2019,5,2,CALCUTTA,India,0.0,0.0,0,0
2019-05-03 00:00:00+00:00,2019,5,3,CALCUTTA,India,0.0,0.0,0,0
2019-05-04 00:00:00+00:00,2019,5,4,CALCUTTA,India,0.0,0.0,0,0
2019-05-05 00:00:00+00:00,2019,5,5,CALCUTTA,India,0.0,0.0,0,0
2019-05-06 00:00:00+00:00,2019,5,6,CALCUTTA,India,0.0,0.0,0,0
2019-05-07 00:00:00+00:00,2019,5,7,CALCUTTA,India,0.0,0.0,0,0
2019-05-08 00:00:00+00:00,2019,5,8,CALCUTTA,India,0.0,0.0,0,0
2019-05-09 00:00:00+00:00,2019,5,9,CALCUTTA,India,0.0,0.0,0,0
2019-05-10 00:00:00+00:00,2019,5,10,CALCUTTA,India,0.0,0.0,0,0
2019-05-11 00:00:00+00:00,2019,5,11,CALCUTTA,India,0.0,0.0,0,0
2019-05-12 00:00:00+00:00,2019,5,12,CALCUTTA,India,0.0,0.0,0,0
2019-05-13 00:00:00+00:00,2019,5,13,CALCUTTA,India,0.0,0.0,0,0
2019-05-14 00:00:00+00:00,2019,5,14,CALCUTTA,India,0.0,0.0,0,0
2019-05-15 00:00:00+00:00,2019,5,15,CALCUTTA,India,0.0,0.0,0,0
2019-05-16 00:00:00+00:00,2019,5,16,CALCUTTA,India,0.0,0.0,0,0
2019-05-17 00:00:00+00:00,2019,5,17,CALCUTTA,India,0.0,0.0,0,0
2019-05-18 00:00:00+00:00,2019,5,18,CALCUTTA,India,0.0,0.0,0,0
2019-05-19 00:00:00+00:00,2019,5,19,CALCUTTA,India,0.0,0.0,0,0
2019-05-20 00:00:00+00:00,2019,5,20,CALCUTTA,India,0.0,0.0,0,0
2019-05-21 00:00:00+00:00,2019,5,21,CALCUTTA,India,0.0,0.0,0,0
2019-05-22 00:00:00+00:00,2019,5,22,CALCUTTA,India,0.0,0.0,0,0
2019-05-23 00:00:00+00:00,2019,5,23,CALCUTTA,India,0.0,0.0,0,0
2019-05-24 00:00:00+00:00,2019,5,24,CALCUTTA,India,0.0,0.0,0,0
2019-05-25 00:00:00+00:00,2019,5,25,CALCUTTA,India,0.0,0.0,0,0
2019-05-26 00:00:00+00:00,2019,5,26,CALCUTTA,India,0.0,0.0,0,0
2019-05-27 00:00:00+00:00,2019,5,27,CALCUTTA,India,0.0,0.0,0,0
2019-05-28 00:00:00+00:00,2019,5,28,CALCUTTA,India,0.0,0.0,0,0
2019-05-29 00:00:00+00:00,2019,5,29,CALCUTTA,India,0.0,0.0,0,0
2019-05-30 00:00:00+00:00,2019,5,30,CALCUTTA,India,0.0,0.0,0,0
2019-05-31 00:00:00+00:00,2019,5,31,CALCUTTA,India,0.0,0.0,0,0
2019-06-01 00:00:00+00:00,2019,6,1,CALCUTTA,India,0.0,0.0,0,0
2019-06-02 00:00:00+00:00,2019,6,2,CALCUTTA,India,0.0,0.0,0,0
2019-06-03 00:00:00+00:00,2019,6,3,CALCUTTA,India,0.0,0.0,0,0
2019-06-04 00:00:00+00:00,2019,6,4,CALCUTTA,India,0.0,0.0,0,0
2019-06-05 00:00:00+00:00,2019,6,5,CALCUTTA,India,0.0,0.0,0,0
2019-06-06 00:00:00+00:00,2019,6,6,CALCUTTA,India,0.0,0.0,0,0
2019-06-07 00:00:00+00:00,2019,6,7,CALCUTTA,India,0.0,0.0,0,0
2019-06-08 00:00:00+00:00,2019,6,8,CALCUTTA,India,0.0,0.0,0,0
2019-06-09 00:00:00+00:00,2019,6,9,CALCUTTA,India,0.0,0.0,0,0
2019-06-10 00:00:00+00:00,2019,6,10,CALCUTTA,India,0.0,0.0,0,0
2019-06-11 00:00:00+00:00,2019,6,11,CALCUTTA,India,0.0,0.0,0,0
2019-06-12 00:00:00+00:00,2019,6,12,CALCUTTA,India,0.0,0.0,0,0
2019-06-13 00:00:00+00:00,2019,6,13,CALCUTTA,India,0.0,0.0,0,0
2019-06-14 00:00:00+00:00,2019,6,14,CALCUTTA,India,0.0,0.0,0,0
2019-06-15 00:00:00+00:00,2019,6,15,CALCUTTA,India,0.0,0.0,0,0
2019-06-16 00:00:00+00:00,2019,6,16,CALCUTTA,India,0.0,0.0,0,0
2019-06-17 00:00:00+00:00,2019,6,17,CALCUTTA,India,0.0,0.0,0,0
2019-06-18 00:00:00+00:00,2019,6,18,CALCUTTA,India,0.0,0.0,0,0
2019-06-19 00:00:00+00:00,2019,6,19,CALCUTTA,India,0.0,0.0,0,0
2019-06-20 00:00:00+00:00,2019,6,20,CALCUTTA,India,0.0,0.0,0,0
2019-06-21 00:00:00+00:00,2019,6,21,CALCUTTA,India,0.0,0.0,0,0
2019-06-22 00:00:00+00:00,2019,6,22,CALCUTTA,India,0.0,0.0,0,0
2019-06-23 00:00:00+00:00,2019,6,23,CALCUTTA,India,0.0,0.0,0,0
2019-06-24 00:00:00+00:00,2019,6,24,CALCUTTA,India,0.0,0.0,0,0
2019-06-25 00:00:00+00:00,2019,6,25,CALCUTTA,India,0.0,0.0,0,0
2019-06-26 00:00:00+00:00,2019,6,26,CALCUTTA,India,0.0,0.0,0,0
2019-06-27 00:00:00+00:00,2019,6,27,CALCUTTA,India,0.0,0.0,0,0
2019-06-28 00:00:00+00:00,2019,6,28,CALCUTTA,India,0.0,0.0,0,0
2019-06-29 00:00:00+00:00,2019,6,29,CALCUTTA,India,0.0,0.0,0,0
2019-06-30 00:00:00+00:00,2019,6,30,CALCUTTA,India,0.0,0.0,0,0
2019-07-01 00:00:00+00:00,2019,7,1,CALCUTTA,India,0.0,0.0,0,0
2019-07-02 00:00:00+00:00,2019,7,2,CALCUTTA,India,0.0,0.0,0,0
2019-07-03 00:00:00+00:00,2019,7,3,CALCUTTA,India,0.0,0.0,0,0
2019-07-04 00:00:00+00:00,2019,7,4,CALCUTTA,India,0.0,0.0,0,0
2019-07-05 00:00:00+00:00,2019,7,5,CALCUTTA,India,0.0,0.0,0,0
2019-07-06 00:00:00+00:00,2019,7,6,CALCUTTA,India,0.0,0.0,0,0
2019-07-07 00:00:00+00:00,2019,7,7,CALCUTTA,India,0.0,0.0,0,0
2019-07-08 00:00:00+00:00,2019,7,8,CALCUTTA,India,0.0,0.0,0,0
2019-07-09 00:00:00+00:00,2019,7,9,CALCUTTA,India,0.0,0.0,0,0
2019-07-10 00:00:00+00:00,2019,7,10,CALCUTTA,India,0.0,0.0,0,0
2019-07-11 00:00:00+00:00,2019,7,11,CALCUTTA,India,0.0,0.0,0,0
2019-07-12 00:00:00+00:00,2019,7,12,CALCUTTA,India,0.0,0.0,0,0
2019-07-13 00:00:00+00:00,2019,7,13,CALCUTTA,India,0.0,0.0,0,0
2019-07-14 00:00:00+00:00,2019,7,14,CALCUTTA,India,0.0,0.0,0,0
2019-07-15 00:00:00+00:00,2019,7,15,CALCUTTA,India,0.0,0.0,0,0
2019-07-16 00:00:00+00:00,2019,7,16,CALCUTTA,India,0.0,0.0,0,0
2019-07-17 00:00:00+00:00,2019,7,17,CALCUTTA,India,0.0,0.0,0,0
2019-07-18 00:00:00+00:00,2019,7,18,CALCUTTA,India,0.0,0.0,0,0
2019-07-19 00:00:00+00:00,2019,7,19,CALCUTTA,India,0.0,0.0,0,0
2019-07-20 00:00:00+00:00,2019,7,20,CALCUTTA,India,0.0,0.0,0,0
2019-07-21 00:00:00+00:00,2019,7,21,CALCUTTA,India,0.0,0.0,0,0
2019-07-22 00:00:00+00:00,2019,7,22,CALCUTTA,India,0.0,0.0,0,0
2019-07-23 00:00:00+00:00,2019,7,23,CALCUTTA,India,0.0,0.0,0,0
2019-07-24 00:00:00+00:00,2019,7,24,CALCUTTA,India,0.0,0.0,0,0
2019-07-25 00:00:00+00:00,2019,7,25,CALCUTTA,India,0.0,0.0,0,0
2019-07-26 00:00:00+00:00,2019,7,26,CALCUTTA,India,0.0,0.0,0,0
2019-07-27 00:00:00+00:00,2019,7,27,CALCUTTA,India,0.0,0.0,0,0
2019-07-28 00:00:00+00:00,2019,7,28,CALCUTTA,India,0.0,0.0,0,0
2019-07-29 00:00:00+00:00,2019,7,29,CALCUTTA,India,0.0,0.0,0,0
2019-07-30 00:00:00+00:00,2019,7,30,CALCUTTA,India,0.0,0.0,0,0
2019-07-31 00:00:00+00:00,2019,7,31,CALCUTTA,India,0.0,0.0,0,0
2019-08-01 00:00:00+00:00,2019,8,1,CALCUTTA,India,0.0,0.0,0,0
2019-08-02 00:00:00+00:00,2019,8,2,CALCUTTA,India,0.0,0.0,0,0
2019-08-03 00:00:00+00:00,2019,8,3,CALCUTTA,India,0.0,0.0,0,0
2019-08-04 00:00:00+00:00,2019,8,4,CALCUTTA,India,0.0,0.0,0,0
2019-08-05 00:00:00+00:00,2019,8,5,CALCUTTA,India,0.0,0.0,0,0
2019-08-06 00:00:00+00:00,2019,8,6,CALCUTTA,India,0.0,0.0,0,0
2019-08-07 00:00:00+00:00,2019,8,7,CALCUTTA,India,0.0,0.0,0,0
2019-08-08 00:00:00+00:00,2019,8,8,CALCUTTA,India,0.0,0.0,0,0
2019-08-09 00:00:00+00:00,2019,8,9,CALCUTTA,India,0.0,0.0,0,0
2019-08-10 00:00:00+00:00,2019,8,10,CALCUTTA,India,0.0,0.0,0,0
2019-08-11 00:00:00+00:00,2019,8,11,CALCUTTA,India,0.0,0.0,0,0
2019-08-12 00:00:00+00:00,2019,8,12,CALCUTTA,India,0.0,0.0,0,0
2019-08-13 00:00:00+00:00,2019,8,13,CALCUTTA,India,0.0,0.0,0,0
2019-08-14 00:00:00+00:00,2019,8,14,CALCUTTA,India,0.0,0.0,0,0
2019-08-15 00:00:00+00:00,2019,8,15,CALCUTTA,India,0.0,0.0,0,0
2019-08-16 00:00:00+00:00,2019,8,16,CALCUTTA,India,0.0,0.0,0,0
2019-08-17 00:00:00+00:00,2019,8,17,CALCUTTA,India,0.0,0.0,0,0
2019-08-18 00:00:00+00:00,2019,8,18,CALCUTTA,India,0.0,0.0,0,0
2019-08-19 00:00:00+00:00,2019,8,19,CALCUTTA,India,0.0,0.0,0,0
2019-08-20 00:00:00+00:00,2019,8,20,CALCUTTA,India,0.0,0.0,0,0
2019-08-21 00:00:00+00:00,2019,8,21,CALCUTTA,India,0.0,0.0,0,0
2019-08-22 00:00:00+00:00,2019,8,22,CALCUTTA,India,0.0,0.0,0,0
2019-08-23 00:00:00+00:00,2019,8,23,CALCUTTA,India,0.0,0.0,0,0
2019-08-24 00:00:00+00:00,2019,8,24,CALCUTTA,India,0.0,0.0,0,0
2019-08-25 00:00:00+00:00,2019,8,25,CALCUTTA,India,0.0,0.0,0,0
2019-08-26 00:00:00+00:00,2019,8,26,CALCUTTA,India,0.0,0.0,0,0
2019-08-27 00:00:00+00:00,2019,8,27,CALCUTTA,India,0.0,0.0,0,0
2019-08-28 00:00:00+00:00,2019,8,28,CALCUTTA,India,0.0,0.0,0,0
2019-08-29 00:00:00+00:00,2019,8,29,CALCUTTA,India,0.0,0.0,0,0
